id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude
13047700,jg230100,2023-04-19t20:35:00.000,024xx e 72nd st,0486,battery,domestic battery simple,apartment,False,True,0334,003,43,08b,1193992,1857783,2023,2023-04-26t16:53:52.000,41.76469494,-87.564520335
13047663,jg230131,2023-04-19t20:34:00.000,042xx w adams st,1477,weapons violation,reckless firearm discharge,street,False,False,1115,011,26,15,1148164,1898674,2023,2023-04-26t16:53:52.000,41.877906907,-87.731443592
13047792,jg230133,2023-04-19t20:32:00.000,030xx w flournoy st,041a,battery,aggravated - handgun,street,False,False,1134,011,27,04b,1156142,1896876,2023,2023-04-26t16:53:52.000,41.87281575,-87.702198717
13048182,jg230568,2023-04-19t20:30:00.000,013xx w jackson blvd,1150,deceptive practice,credit card fraud,vehicle non-commercial,False,False,1231,012,28,11,1167490,1898755,2023,2023-04-26t16:53:52.000,41.877735349,-87.660480953
13047780,jg230085,2023-04-19t20:30:00.000,036xx w lexington st,041a,battery,aggravated - handgun,sidewalk,False,False,1133,011,27,04b,1152230,1896453,2023,2023-04-26t16:53:52.000,41.871733025,-87.716572725
13048002,jg230484,2023-04-19t20:30:00.000,083xx s ellis ave,0910,motor vehicle theft,automobile,street,False,False,0632,006,44,07,1184337,1849947,2023,2023-04-26t16:53:52.000,41.743423523,-87.600152807
13047934,jg230361,2023-04-19t20:30:00.000,054xx s harper ave,0820,theft,$500 and under,street,False,False,0234,002,41,06,1187195,1869755,2023,2023-04-26t16:53:52.000,41.79771109,-87.589052989
13047983,jg230463,2023-04-19t20:30:00.000,007xx s pulaski rd,1310,criminal damage,to property,parking lot / garage (non residential),False,False,1132,011,26,14,1149836,1896327,2023,2023-04-26t16:53:52.000,41.871434133,-87.725365406
13047776,jg230161,2023-04-19t20:29:00.000,045xx w congress pkwy,0560,assault,simple,apartment,False,True,1131,011,26,08a,1146174,1897305,2023,2023-04-26t16:53:52.000,41.87418827,-87.73878528
13047699,jg230119,2023-04-19t20:28:00.000,036xx n greenview ave,0486,battery,domestic battery simple,residence,True,True,1922,019,6,08b,1165665,1924227,2023,2023-04-26t16:53:52.000,41.947671215,-87.666454666
