id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,crime_rating
13047730,jg230166,2023-04-19t21:05:00.000,015xx n sandburg ter,0560,assault,simple,apartment,False,True,1821,18,8,08a,1175024.0,1910843.0,2023,2023-04-26t16:53:52.000,41.91074006,-87.632455702,5
13047713,jg230142,2023-04-19t21:05:00.000,056xx w division st,0486,battery,domestic battery simple,street,False,True,2531,25,25,08b,1138361.0,1907431.0,2023,2023-04-26t16:53:52.000,41.902120234,-87.767226178,5
13048150,jg230602,2023-04-19t21:01:00.000,056xx n western ave,0910,motor vehicle theft,automobile,street,False,False,2011,20,2,07,1159306.0,1937470.0,2023,2023-04-26t16:53:52.000,41.984144072,-87.689462992,4
13052949,jg236411,2023-04-19t21:00:00.000,001xx s racine ave,0820,theft,$500 and under,residence - porch / hallway,False,False,1232,12,28,06,,,2023,2023-04-26t16:53:52.000,,,4
13050880,jg233790,2023-04-19t21:00:00.000,070xx s dorchester ave,0820,theft,$500 and under,other (specify),False,False,321,3,43,06,1186762.0,1858340.0,2023,2023-04-26t16:53:52.000,41.766397672,-87.591002227,4
13047772,jg230178,2023-04-19t21:00:00.000,016xx w congress pkwy,041a,battery,aggravated - handgun,hospital building / grounds,False,False,1231,12,28,04b,1165475.0,1897799.0,2023,2023-04-26t16:53:52.000,41.875155116,-87.667906709,5
13047753,jg230149,2023-04-19t21:00:00.000,133xx s edbrooke ave,0486,battery,domestic battery simple,sidewalk,False,True,533,5,54,08b,1179801.0,1816912.0,2023,2023-04-26t16:53:52.000,41.652875767,-87.617778465,5
13049512,jg230139,2023-04-19t21:00:00.000,013xx e 47th st,0430,battery,aggravated - other dangerous weapon,athletic club,False,True,222,2,39,04b,1185692.0,1874100.0,2023,2023-04-26t16:53:52.000,41.809669669,-87.594427666,5
13052948,jg230693,2023-04-19t21:00:00.000,010xx e 132nd st,0910,motor vehicle theft,automobile,cha parking lot / grounds,False,False,533,5,54,07,,,2023,2023-04-26t16:53:52.000,,,4
13048198,jg230710,2023-04-19t21:00:00.000,014xx w 49th pl,0486,battery,domestic battery simple,apartment,False,True,933,9,61,08b,1167616.0,1871924.0,2023,2023-04-26t16:53:52.000,41.804105825,-87.66078974,5
13048258,jg230794,2023-04-19t21:00:00.000,005xx n milwaukee ave,0910,motor vehicle theft,automobile,street,False,False,1214,12,24,07,1170736.0,1903877.0,2023,2023-04-26t16:53:52.000,41.891720013,-87.648412441,4
13047906,jg230135,2023-04-19t21:00:00.000,046xx n marine dr,1330,criminal trespass,to land,hospital building / grounds,False,False,1914,19,3,26,1170399.0,1931093.0,2023,2023-04-26t16:53:52.000,41.966409353,-87.648852157,5
13048069,jg230437,2023-04-19t21:00:00.000,037xx w 54th st,0910,motor vehicle theft,automobile,street,False,False,822,8,62,07,1152413.0,1868546.0,2023,2023-04-26t16:53:52.000,41.795149014,-87.716636415,4
13047769,jg230204,2023-04-19t21:00:00.000,011xx w fulton market,0820,theft,$500 and under,street,False,False,1214,12,28,06,1168635.0,1902025.0,2023,2023-04-26t16:53:52.000,41.886683758,-87.65618209,4
13047870,jg230242,2023-04-19t21:00:00.000,085xx s loomis blvd,0486,battery,domestic battery simple,residence,False,True,613,6,71,08b,1168486.0,1848155.0,2023,2023-04-26t16:53:52.000,41.738861949,-87.658283218,5
13047717,jg230160,2023-04-19t21:00:00.000,015xx n leclaire ave,0810,theft,over $500,street,False,False,2533,25,25,06,1142090.0,1909816.0,2023,2023-04-26t16:53:52.000,41.908596601,-87.753469621,4
13047909,jg230338,2023-04-19t21:00:00.000,060xx s marshfield ave,0910,motor vehicle theft,automobile,street,False,False,714,7,67,07,1166376.0,1864619.0,2023,2023-04-26t16:53:52.000,41.784086563,-87.665545584,4
13047767,jg230137,2023-04-19t20:43:00.000,087xx s langley ave,0486,battery,domestic battery simple,apartment,False,True,632,6,44,08b,1182433.0,1847029.0,2023,2023-04-26t16:53:52.000,41.735460507,-87.607219319,5
13047790,jg230167,2023-04-19t20:42:00.000,016xx s wabash ave,051a,assault,aggravated - handgun,street,True,True,131,1,33,04a,1177027.0,1892335.0,2023,2023-04-26t16:53:52.000,41.85990797,-87.625658189,5
13047700,jg230100,2023-04-19t20:35:00.000,024xx e 72nd st,0486,battery,domestic battery simple,apartment,False,True,334,3,43,08b,1193992.0,1857783.0,2023,2023-04-26t16:53:52.000,41.76469494,-87.564520335,5
13047663,jg230131,2023-04-19t20:34:00.000,042xx w adams st,1477,weapons violation,reckless firearm discharge,street,False,False,1115,11,26,15,1148164.0,1898674.0,2023,2023-04-26t16:53:52.000,41.877906907,-87.731443592,5
13047792,jg230133,2023-04-19t20:32:00.000,030xx w flournoy st,041a,battery,aggravated - handgun,street,False,False,1134,11,27,04b,1156142.0,1896876.0,2023,2023-04-26t16:53:52.000,41.87281575,-87.702198717,5
13048182,jg230568,2023-04-19t20:30:00.000,013xx w jackson blvd,1150,deceptive practice,credit card fraud,vehicle non-commercial,False,False,1231,12,28,11,1167490.0,1898755.0,2023,2023-04-26t16:53:52.000,41.877735349,-87.660480953,4
13047780,jg230085,2023-04-19t20:30:00.000,036xx w lexington st,041a,battery,aggravated - handgun,sidewalk,False,False,1133,11,27,04b,1152230.0,1896453.0,2023,2023-04-26t16:53:52.000,41.871733025,-87.716572725,5
13048002,jg230484,2023-04-19t20:30:00.000,083xx s ellis ave,0910,motor vehicle theft,automobile,street,False,False,632,6,44,07,1184337.0,1849947.0,2023,2023-04-26t16:53:52.000,41.743423523,-87.600152807,4
13047934,jg230361,2023-04-19t20:30:00.000,054xx s harper ave,0820,theft,$500 and under,street,False,False,234,2,41,06,1187195.0,1869755.0,2023,2023-04-26t16:53:52.000,41.79771109,-87.589052989,4
13047983,jg230463,2023-04-19t20:30:00.000,007xx s pulaski rd,1310,criminal damage,to property,parking lot / garage (non residential),False,False,1132,11,26,14,1149836.0,1896327.0,2023,2023-04-26t16:53:52.000,41.871434133,-87.725365406,5
13047776,jg230161,2023-04-19t20:29:00.000,045xx w congress pkwy,0560,assault,simple,apartment,False,True,1131,11,26,08a,1146174.0,1897305.0,2023,2023-04-26t16:53:52.000,41.87418827,-87.73878528,5
13047699,jg230119,2023-04-19t20:28:00.000,036xx n greenview ave,0486,battery,domestic battery simple,residence,True,True,1922,19,6,08b,1165665.0,1924227.0,2023,2023-04-26t16:53:52.000,41.947671215,-87.666454666,5
13050516,jg230150,2023-04-19t20:25:00.000,048xx s calumet ave,051a,assault,aggravated - handgun,apartment,False,True,224,2,38,04a,1179248.0,1873096.0,2023,2023-04-26t16:53:52.000,41.807064211,-87.618093625,5
13047745,jg230096,2023-04-19t20:25:00.000,007xx e 133rd pl,1320,criminal damage,to vehicle,street,False,True,533,5,54,14,1183978.0,1817015.0,2023,2023-04-26t16:53:52.000,41.653062253,-87.60249209,5
13047657,jg230116,2023-04-19t20:25:00.000,094xx s lowe ave,1310,criminal damage,to property,residence,False,False,2223,22,73,14,1173630.0,1842357.0,2023,2023-04-26t16:53:52.000,41.72283918,-87.639607862,5
13048719,jg230944,2023-04-19t20:20:00.000,051xx s lake park ave,0860,theft,retail theft,department store,False,False,234,2,41,06,1187537.0,1871358.0,2023,2023-04-26t16:53:52.000,41.802101704,-87.587747851,4
13048801,jg230107,2023-04-19t20:17:00.000,048xx s kedvale ave,051a,assault,aggravated - handgun,residence,False,False,815,8,57,04a,1149510.0,1872271.0,2023,2023-04-26t16:53:52.000,41.805427629,-87.727185557,5
13047984,jg230447,2023-04-19t20:16:00.000,016xx e 53rd st,0910,motor vehicle theft,automobile,street,False,False,234,2,41,07,1188307.0,1870451.0,2023,2023-04-26t16:53:52.000,41.79959447,-87.584952954,4
13048328,jg230093,2023-04-19t20:16:00.000,026xx w evergreen ave,0486,battery,domestic battery simple,apartment,False,True,1423,14,24,08b,1158636.0,1908880.0,2023,2023-04-26t16:53:52.000,41.905705116,-87.69271303,5
13047733,jg230113,2023-04-19t20:15:00.000,034xx w walnut st,143a,weapons violation,unlawful possession - handgun,sidewalk,True,False,1123,11,27,15,1153460.0,1901460.0,2023,2023-04-26t16:53:52.000,41.885448417,-87.711923777,5
13047729,jg230140,2023-04-19t20:15:00.000,053xx w congress pkwy,1581,sex offense,non-consensual dissemination of private sexual images,apartment,False,False,1522,15,25,17,1140926.0,1897166.0,2023,2023-04-26t16:53:52.000,41.873904973,-87.758057209,5
13049985,jg231969,2023-04-19t20:15:00.000,026xx w evergreen ave,0610,burglary,forcible entry,apartment,False,False,1423,14,24,05,1158636.0,1908880.0,2023,2023-04-26t16:53:52.000,41.905705116,-87.69271303,4
13047905,jg230080,2023-04-19t20:12:00.000,042xx n sheridan rd,0560,assault,simple,apartment,False,False,1915,19,3,08a,1168838.0,1928364.0,2023,2023-04-26t16:53:52.000,41.958954963,-87.654671132,5
13047690,jg230086,2023-04-19t20:12:00.000,075xx s stony island ave,0910,motor vehicle theft,automobile,hospital building / grounds,False,False,411,4,43,07,1188234.0,1855158.0,2023,2023-04-26t16:53:52.000,41.757630995,-87.585708249,4
13047725,jg230101,2023-04-19t20:09:00.000,023xx s wood st,1310,criminal damage,to property,commercial / business office,False,False,1034,10,31,14,1164750.0,1888302.0,2023,2023-04-26t16:53:52.000,41.849109881,-87.670837682,5
13047678,jg230088,2023-04-19t20:09:00.000,021xx w lunt ave,0495,battery,aggravated of a senior citizen,apartment,False,True,2411,24,2,04b,1160460.0,1946475.0,2023,2023-04-26t16:53:52.000,42.008830215,-87.684967977,5
13047694,jg230081,2023-04-19t20:05:00.000,015xx w 33rd st,0320,robbery,strong arm - no weapon,small retail store,False,False,912,9,59,03,1166400.0,1882880.0,2023,2023-04-26t16:53:52.000,41.834196296,-87.664936885,4
13047619,jg230064,2023-04-19t20:05:00.000,037xx s wentworth ave,0486,battery,domestic battery simple,residence,False,True,915,9,34,08b,1175560.0,1880211.0,2023,2023-04-26t16:53:52.000,41.826671835,-87.631406808,5
13047685,jg230127,2023-04-19t20:00:00.000,054xx s halsted st,0430,battery,aggravated - other dangerous weapon,sidewalk,False,False,934,9,61,04b,1171892.0,1868918.0,2023,2023-04-26t16:53:52.000,41.795764158,-87.645195709,5
13047931,jg230376,2023-04-19t20:00:00.000,074xx n ridge blvd,0820,theft,$500 and under,street,False,False,2424,24,1,06,1160604.0,1949454.0,2023,2023-04-26t16:53:52.000,42.017001674,-87.684355065,4
